"LAT","LON","ship_type","SHIPNAME","DATETIME","DIFFERENCE","ID","ship_type_and_name","DISTANCE","TIME","TYPE"
59.90835,30.06593,"Cargo","BALTIC PATRIOT",2016-12-18 05:49:03,120,228735,"Cargo BALTIC PATRIOT",NA,NA,"arrival"
59.91237,30.04677,"Cargo","BALTIC PATRIOT",2016-12-18 05:47:04,119,228736,"Cargo BALTIC PATRIOT",1159.19162748414,119,"departure"
59.9075,30.07083,"Cargo","BALTIC PERFORMER",2016-12-13 15:33:04,120,233366,"Cargo BALTIC PERFORMER",NA,NA,"arrival"
59.91117,30.05283,"Cargo","BALTIC PERFORMER",2016-12-13 15:31:05,118,233367,"Cargo BALTIC PERFORMER",1084.51304422309,119,"departure"
59.91264,30.04653,"Cargo","BALTIC PIONEER",2016-12-20 05:05:04,119,233521,"Cargo BALTIC PIONEER",NA,NA,"arrival"
59.91522,30.03235,"Cargo","BALTIC PIONEER",2016-12-20 05:03:05,118,233522,"Cargo BALTIC PIONEER",841.81614635484,119,"departure"
59.90331,30.22391,"Cargo","BALTIC PRIME",2016-12-18 15:53:04,119,234775,"Cargo BALTIC PRIME",NA,NA,"arrival"
59.90751,30.22953,"Cargo","BALTIC PRIME",2016-12-18 15:51:04,120,234776,"Cargo BALTIC PRIME",563.031271099465,120,"departure"
57.67877,11.80791,"Cargo","BALTICA",2016-12-19 14:25:07,118,239381,"Cargo BALTICA",NA,NA,"arrival"
54.56953,18.84389,"Cargo","BALTICA HAV",2016-12-19 10:11:02,120,242215,"Cargo BALTICA HAV",NA,NA,"departure"
54.57626,18.85364,"Cargo","BALTICA HAV",2016-12-19 10:09:01,121,242216,"Cargo BALTICA HAV",978.315204551399,121,"arrival"
54.98353,19.80258,"Cargo","BALTIYSK",2016-12-17 11:53:03,119,249114,"Cargo BALTIYSK",NA,NA,"departure"
54.67425,19.80733,"Cargo","BALTIYSK",2016-12-17 10:03:03,6600,249115,"Cargo BALTIYSK",34430.2393251217,6600,"arrival"
54.50566,18.77121,"Cargo","BALTIYSKIY-202",2016-12-20 09:31:07,114,249885,"Cargo BALTIYSKIY-202",NA,NA,"departure"
54.46891,18.71478,"Cargo","BALTIYSKIY-202",2016-12-20 09:11:07,1195,249886,"Cargo BALTIYSKIY-202",5481.89688442736,1200,"arrival"
59.9205,30.006,"Cargo","BARMBEK",2016-12-18 09:23:04,NA,253986,"Cargo BARMBEK",NA,NA,"departure"
59.91767,30.02017,"Cargo","BARMBEK",2016-12-18 09:21:04,119,253987,"Cargo BARMBEK",851.08024583312,120,"arrival"
57.93184,11.67667,"Cargo","BBS SKY",2016-12-16 22:17:05,120,258275,"Cargo BBS SKY",NA,NA,"departure"
57.94067,11.69033,"Cargo","BBS SKY",2016-12-16 22:15:05,120,258276,"Cargo BBS SKY",1271.94063767476,120,"arrival"
55.13744,19.81967,"Cargo","BEATA",2016-12-16 18:03:03,119,258348,"Cargo BEATA",NA,NA,"departure"
54.6795,19.80137,"Cargo","BEATA",2016-12-16 15:31:02,9121,258349,"Cargo BEATA",50991.0976068189,9121,"arrival"
57.65701,11.75727,"Cargo","BEGONIA SEAWAYS",2016-12-18 13:17:05,120,263011,"Cargo BEGONIA SEAWAYS",NA,NA,"departure"
57.65199,11.72603,"Cargo","BEGONIA SEAWAYS",2016-12-18 13:15:05,120,263012,"Cargo BEGONIA SEAWAYS",1942.71678639265,120,"arrival"
55.72531,21.0928,"Cargo","BEKAU",2016-12-16 18:27:07,119,263403,"Cargo BEKAU",NA,NA,"departure"
55.71568,21.1116,"Cargo","BEKAU",2016-12-16 18:19:06,481,263404,"Cargo BEKAU",1593.30112791287,481,"arrival"
59.92099,30.00478,"Cargo","BELBEK",2016-12-15 10:09:05,NA,263458,"Cargo BELBEK",NA,NA,"departure"
